ticker,filing_date,form,accession_number,primary_document,matched_keyword,filing_url,risk_category
BCDA,2026-05-15,8-K,0001437749-26-017222,bcda20260515_8k.htm,warrant,https://www.sec.gov/Archives/edgar/data/925741/000143774926017222/bcda20260515_8k.htm,warrants_convertibles
BCDA,2026-05-15,10-Q,0001437749-26-017221,bcda20260331_10q.htm,offering,https://www.sec.gov/Archives/edgar/data/925741/000143774926017221/bcda20260331_10q.htm,dilution
BCDA,2026-05-15,10-Q,0001437749-26-017221,bcda20260331_10q.htm,at-the-market,https://www.sec.gov/Archives/edgar/data/925741/000143774926017221/bcda20260331_10q.htm,dilution
BCDA,2026-05-15,10-Q,0001437749-26-017221,bcda20260331_10q.htm,warrant,https://www.sec.gov/Archives/edgar/data/925741/000143774926017221/bcda20260331_10q.htm,warrants_convertibles
BCDA,2026-05-15,10-Q,0001437749-26-017221,bcda20260331_10q.htm,going concern,https://www.sec.gov/Archives/edgar/data/925741/000143774926017221/bcda20260331_10q.htm,going_concern
BCDA,2026-05-15,10-Q,0001437749-26-017221,bcda20260331_10q.htm,delisting,https://www.sec.gov/Archives/edgar/data/925741/000143774926017221/bcda20260331_10q.htm,delisting_compliance
BCDA,2026-05-15,10-Q,0001437749-26-017221,bcda20260331_10q.htm,compliance,https://www.sec.gov/Archives/edgar/data/925741/000143774926017221/bcda20260331_10q.htm,delisting_compliance
BCDA,2026-05-15,10-Q,0001437749-26-017221,bcda20260331_10q.htm,dilution,https://www.sec.gov/Archives/edgar/data/925741/000143774926017221/bcda20260331_10q.htm,dilution
MVIS,2026-05-15,10-Q,0001493152-26-023667,form10-q.htm,offering,https://www.sec.gov/Archives/edgar/data/65770/000149315226023667/form10-q.htm,dilution
MVIS,2026-05-15,10-Q,0001493152-26-023667,form10-q.htm,at-the-market,https://www.sec.gov/Archives/edgar/data/65770/000149315226023667/form10-q.htm,dilution
MVIS,2026-05-15,10-Q,0001493152-26-023667,form10-q.htm,warrant,https://www.sec.gov/Archives/edgar/data/65770/000149315226023667/form10-q.htm,warrants_convertibles
MVIS,2026-05-15,10-Q,0001493152-26-023667,form10-q.htm,convertible note,https://www.sec.gov/Archives/edgar/data/65770/000149315226023667/form10-q.htm,warrants_convertibles
MVIS,2026-05-15,10-Q,0001493152-26-023667,form10-q.htm,going concern,https://www.sec.gov/Archives/edgar/data/65770/000149315226023667/form10-q.htm,going_concern
MVIS,2026-05-15,10-Q,0001493152-26-023667,form10-q.htm,delisting,https://www.sec.gov/Archives/edgar/data/65770/000149315226023667/form10-q.htm,delisting_compliance
MVIS,2026-05-15,10-Q,0001493152-26-023667,form10-q.htm,compliance,https://www.sec.gov/Archives/edgar/data/65770/000149315226023667/form10-q.htm,delisting_compliance
MVIS,2026-05-15,10-Q,0001493152-26-023667,form10-q.htm,dilution,https://www.sec.gov/Archives/edgar/data/65770/000149315226023667/form10-q.htm,dilution
KULR,2026-05-14,10-Q,0001104659-26-061180,tmb-20260331x10q.htm,stock split,https://www.sec.gov/Archives/edgar/data/1662684/000110465926061180/tmb-20260331x10q.htm,reverse_split
KULR,2026-05-14,10-Q,0001104659-26-061180,tmb-20260331x10q.htm,offering,https://www.sec.gov/Archives/edgar/data/1662684/000110465926061180/tmb-20260331x10q.htm,dilution
KULR,2026-05-14,10-Q,0001104659-26-061180,tmb-20260331x10q.htm,ATM offering,https://www.sec.gov/Archives/edgar/data/1662684/000110465926061180/tmb-20260331x10q.htm,dilution
KULR,2026-05-14,10-Q,0001104659-26-061180,tmb-20260331x10q.htm,warrant,https://www.sec.gov/Archives/edgar/data/1662684/000110465926061180/tmb-20260331x10q.htm,warrants_convertibles
